VNTR:1.1
VNTR:1.2
VNTR:1.3
VNTR:1.4
VNTR:1.5
VNTR:1.6
VNTR:1.7
VNTR:1.8
VNTR:1.9
VNTR:1.10
VNTR:1.11
VNTR:1.12
VNTR:1.13
VNTR:1.14
VNTR:1.15
VNTR:1.16
VNTR:1.17
VNTR:1.18
VNTR:1.19	VNTR:1.20
VNTR:1.21
VNTR:1.22
